
💘CCTV蓝光,#genre#
综合1台,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv1/1.m3u8?IASHttpSessionId=OTT?zzhongd
财经2台,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv2/1.m3u8?IASHttpSessionId=OTT?zzhongd
综艺3台,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv3/1.m3u8?IASHttpSessionId=OTT?zzhongd
中文国际4台,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv4/1.m3u8?IASHttpSessionId=OTT?zzhongd
体育5台,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv5/1.m3u8?IASHttpSessionId=OTT?zzhongd
体育赛事,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv05plus/1.m3u8?IASHttpSessionId=OTT?zzhongd
电影6台,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv6/1.m3u8?IASHttpSessionId=OTT?zzhongd
国防军事7台,http://39.135.32.7:6610/000000001000/cctv-7/1.m3u8?IASHttpSessionId=OTT?zzhongd
电视剧8台,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv8/1.m3u8?IASHttpSessionId=OTT?zzhongd
纪录9台,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv9/1.m3u8?IASHttpSessionId=OTT?zzhongd
科教10台,http://39.135.32.7:6610/000000001000/cctv-10/1.m3u8?IASHttpSessionId=OTT?zzhongd
戏曲11台,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv11/1.m3u8?IASHttpSessionId=OTT?zzhongd
社会与法12台,http://39.135.32.7:6610/000000001000/cctv-12/1.m3u8?IASHttpSessionId=OTT?zzhongd
新闻13台,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv13/1.m3u8?IASHttpSessionId=OTT?zzhongd
少儿14台,http://39.135.32.7:6610/000000001000/cctv-14/1.m3u8?IASHttpSessionId=OTT?zzhongd
音乐15台,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv15/1.m3u8?IASHttpSessionId=OTT?zzhongd
奥林匹克16台,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv16/1.m3u8?IASHttpSessionId=OTT?zzhongd
农业农村17台,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv17/1.m3u8?IASHttpSessionId=OTT?zzhongd
综合1台,http://39.135.32.24:6610/000000001000/1000000001000021973/1.m3u8?i?zzhongd
财经2台,http://39.135.32.24:6610/000000001000/1000000001000012442/1.m3u8?i?zzhongd
综艺3台,http://39.135.32.24:6610/000000001000/1000000001000011218/index.m3u8?i?zzhongd
中文国际4台,http://39.135.32.24:6610/000000001000/1000000002000031664/1.m3u8?i?zzhongd
体育5台,http://39.135.32.24:6610/000000001000/1000000001000004794/1.m3u8?i?zzhongd
体育赛事,http://tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8?zzhongd
电影6台,http://39.135.32.24:6610/000000001000/1000000001000001737/index.m3u8?i?zzhongd
国防军事7台,http://39.135.32.24:6610/000000001000/1000000001000017218/1.m3u8?xtkg?zzhongd
电视剧8台,http://39.135.32.24:6610/000000001000/1000000001000003736/index.m3u8?i?zzhongd
